MATRIZ RACI SIMPLE,,,,,,,,,,,,,,,,,,,,,
,,, Proyect manager ,Arquitecto de software ,Diseñador UI/UX,Desarrolldor backend ,Desarrollador frontend,Analista de requisitos , Ingeniero de inteligencia artificial,Ingeniero DevOps,Especialista en seguridad ,, Rol 3, Rol 4, Rol 5, Rol 1, Rol 2, Rol 3, Rol 4, Rol 5,
PRIORIDAD,ESTADO,RESULTADO/ACTIVIDAD DEL PROYECTO,Liderazgo de proyectos,,,,,Miembros del equipo del proyecto,,,Recursos adicionales,,,,,Otro,,,,,
,,FASE 1,,,,,,,,,,,,,,,,,,,
Baja,Completo,Constitución del acta de inicio,R,C,I,I,I,A,I,I,I,,,,,,,,,,
Media,Completo,Conformación del Equipo de trabajo,C,A,I,I,I,R,I,C,I,,,,,,,,,,
Alta,Completo,Explicación de la idea,A,C,C,I,I,R,R,I,I,,,,,,,,,,
,Completo,Presentación y Asignación de actividades ,A,R,C,C,I,C,I,R,I,,,,,,,,,,
,No se ha iniciado,,,,,,,,,,,,,,,,,,,,
,Atrasado,,,,,,,,,,,,,,,,,,,,
,En espera,,,,,,,,,,,,,,,,,,,,
,,FASE 2,,,,,,,,,,,,,,,,,,,
Alta,Completo,Crear acta del proyecto,R,C,I,I,I,C,I,I,I,,,,,,,,,,
Alta,Completo,Crear cronograma,R,C,I,I,I,C,I,C,I,,,,,,,,,,
Media,En curso,Crear planes adicionales según sea necesario,A,R,C,C,C,C,C,C,C,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,FASE 3,,,,,,,,,,,,,,,,,,,
Alta,En curso,Levantamiento de información,A,I,C,C,C,R,I,I,I,,,,,,,,,,
Media,En curso,  Tipos de requerimientos,A,C,,C,C,R,I,I,I,,,,,,,,,,
Alta,En espera,  Diseño,A,I,R,C,C,C,I,I,I,,,,,,,,,,
Alta,En espera,Elaboración interfaz,A,,C,,R,C,,I,I,,,,,,,,,,
Media,No se ha iniciado,Análisis,A,C,,C,C,R,C,I,I,,,,,,,,,,
Alta,No se ha iniciado,  Toma de decisiones y ajustes,R,C,C,C,C,C,C,I,A,,,,,,,,,,
Alta,No se ha iniciado,  Programación del Código fuente,A,C,C,R,C,C,C,I,I,,,,,,,,,,
Alta,No se ha iniciado, Carga inicial ,A,,,C,C,I,,R,I,,,,,,,,,,
Alta,No se ha iniciado, Pruebas funcionales,A,,,R,R,C,C,I,I,,,,,,,,,,
Alta,No se ha iniciado, Integración,A,,,R,C,I,,C,I,,,,,,,,,,
Media,No se ha iniciado, Pruebas funcionales de integración,A,,,R,R,C,,I,I,,,,,,,,,,
Alta,No se ha iniciado,Configuración con el servidor,A,,,C,,C,,R,C,,,,,,,,,,
Alta,No se ha iniciado,Pruebas funcionales con el servidor,A,,,C,,I,,R,I,,,,,,,,,,
Alta,No se ha iniciado, Puesta en operación,A,,,C,C,I,,R,I,,,,,,,,,,
Alta,No se ha iniciado,Entregable,A,,R,,R,C,,I,I,,,,,,,,,,
,,FASE 4,,,,,,,,,,,,,,,,,,,
Alta,No se ha iniciado,Revisión de la planeación,R,A,C,I,C,C,I,I,I,,,,,,,,,,
Alta,No se ha iniciado,Control de la ejecución,R,A,C,C,C,I,I,C,I,,,,,,,,,,
Alta,No se ha iniciado,Control de la ejecución del codigo,A,C,C,R,R,I,I,C,I,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,FASE 5,,,,,,,,,,,,,,,,,,,
Media,En curso,Reuniones,R,A,,C,C,C,I,I,I,,,,,,,,,,
Media,No se ha iniciado,Informe,R,C,C,C,C,C,I,I,I,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
